1575354780056,-28800000,Eating,Start
1575354802397,-28800000,Eating,End
1575354803695,-28800000,Eating,Start
1575354815508,-28800000,Eating,End
1575354817031,-28800000,Eating,Start
1575354833610,-28800000,Eating,End
1575354838724,-28800000,Smoking,Start
1575354846715,-28800000,Smoking,End
1575354847828,-28800000,Smoking,Start
1575354855131,-28800000,Smoking,End
1575354855953,-28800000,Smoking,Start
1575354863750,-28800000,Smoking,End
1575354864423,-28800000,Smoking,Start
1575354871320,-28800000,Smoking,End
1575354878427,-28800000,Smoking,Start
1575354884475,-28800000,Smoking,End
1575354886615,-28800000,Eating,Start
1575354901230,-28800000,Eating,End
1575354905818,-28800000,Eating,Start
1575354915567,-28800000,Eating,End
1575354916812,-28800000,Eating,Start
1575354941318,-28800000,Eating,End
1575354944368,-28800000,Smoking,Start
1575354950644,-28800000,Smoking,End
1575354951660,-28800000,Smoking,Start
1575354958803,-28800000,Smoking,End
1575354959593,-28800000,Smoking,Start
1575354967290,-28800000,Smoking,End
1575354967898,-28800000,Smoking,Start
1575354974666,-28800000,Smoking,End
1575354975319,-28800000,Smoking,Start
1575354982413,-28800000,Smoking,End
1575354984069,-28800000,Eating,Start
1575354996009,-28800000,Eating,End
1575354997538,-28800000,Eating,Start
1575355015918,-28800000,Eating,End
1575355017068,-28800000,Smoking,Start
1575355026140,-28800000,Smoking,End
1575355026830,-28800000,Smoking,Start
1575355034531,-28800000,Smoking,End
1575355035200,-28800000,Smoking,Start
1575355043250,-28800000,Smoking,End
1575355043887,-28800000,Smoking,Start
1575355050985,-28800000,Smoking,End
1575355052682,-28800000,Eating,Start
1575355065005,-28800000,Eating,End
1575355065741,-28800000,Eating,Start
1575355076616,-28800000,Eating,End
1575355077749,-28800000,Eating,Start
1575355095131,-28800000,Eating,End
1575355096127,-28800000,Eating,Start
1575355106267,-28800000,Eating,End
